org_id,created_at,industry,company_size,acquisition_source,region
org_00185,2025-07-15T00:00:00,Professional Services,Enterprise,Product-Led,North America
org_00186,2025-02-07T00:00:00,Retail,Mid-Market,Referral,Europe
org_00187,2025-09-25T00:00:00,Education,SMB,Paid Search,Asia-Pacific
org_00188,2025-07-13T00:00:00,Retail,SMB,Content,Latin America
org_00189,2025-04-05T00:00:00,Technology,SMB,Organic Search,Europe
org_00190,2025-01-07T00:00:00,Financial Services,SMB,Product-Led,Latin America
org_00191,2025-07-06T00:00:00,Technology,SMB,Referral,North America
org_00192,2025-07-17T00:00:00,Education,Mid-Market,Content,Europe
org_00193,2025-11-04T00:00:00,Education,SMB,Partner,Europe
org_00194,2025-08-06T00:00:00,Healthcare,SMB,Organic Search,North America
org_00195,2025-05-07T00:00:00,Professional Services,SMB,Organic Search,North America
org_00196,2025-07-15T00:00:00,Healthcare,Mid-Market,Content,Europe
org_00197,2025-10-02T00:00:00,Education,SMB,Content,Asia-Pacific
org_00198,2025-05-30T00:00:00,Financial Services,Mid-Market,Content,Europe
org_00199,2025-06-23T00:00:00,Financial Services,SMB,Organic Search,Europe
org_00200,2025-04-11T00:00:00,Education,SMB,Partner,North America
org_00201,2025-05-28T00:00:00,Professional Services,SMB,Product-Led,North America
org_00202,2025-05-14T00:00:00,Financial Services,Mid-Market,Paid Search,Asia-Pacific
org_00203,2025-08-23T00:00:00,Education,SMB,Organic Search,Latin America
org_00204,2025-11-05T00:00:00,Financial Services,SMB,Paid Search,Asia-Pacific
org_00205,2025-01-29T00:00:00,Retail,Enterprise,Partner,Europe
org_00206,2025-06-10T00:00:00,Education,Enterprise,Organic Search,North America
org_00207,2025-10-03T00:00:00,Financial Services,Mid-Market,Organic Search,North America
org_00208,2025-02-28T00:00:00,Healthcare,SMB,Paid Search,Europe
org_00209,2025-10-03T00:00:00,Professional Services,SMB,Product-Led,North America
org_00210,2025-01-30T00:00:00,Healthcare,Mid-Market,Referral,North America
org_00211,2025-04-20T00:00:00,Professional Services,Mid-Market,Product-Led,North America
org_00212,2025-02-01T00:00:00,Financial Services,SMB,Organic Search,North America
org_00213,2025-12-28T00:00:00,Professional Services,SMB,Content,North America
org_00214,2025-01-24T00:00:00,Financial Services,SMB,Partner,Europe
org_00215,2025-04-14T00:00:00,Financial Services,SMB,Organic Search,Latin America
org_00216,2025-12-02T00:00:00,Education,Mid-Market,Paid Search,North America
org_00217,2025-12-02T00:00:00,Healthcare,SMB,Referral,North America
org_00218,2025-07-15T00:00:00,Retail,Mid-Market,Referral,Europe
org_00219,2025-07-16T00:00:00,Financial Services,SMB,Paid Search,Europe
org_00220,2025-05-08T00:00:00,Healthcare,SMB,Paid Search,North America
org_00221,2025-06-04T00:00:00,Education,SMB,Partner,Latin America
org_00222,2025-12-05T00:00:00,Healthcare,SMB,Referral,North America
org_00223,2025-12-01T00:00:00,Retail,SMB,Organic Search,North America
org_00224,2025-01-19T00:00:00,Education,SMB,Organic Search,North America
org_00225,2025-11-18T00:00:00,Professional Services,SMB,Partner,Europe
org_00226,2025-05-06T00:00:00,Retail,SMB,Organic Search,North America
org_00227,2025-04-27T00:00:00,Healthcare,Enterprise,Content,North America
org_00228,2025-03-28T00:00:00,Professional Services,Enterprise,Paid Search,Europe
org_00229,2025-10-21T00:00:00,Healthcare,Mid-Market,Content,North America
org_00230,2025-11-09T00:00:00,Professional Services,SMB,Referral,North America
org_00231,2025-05-07T00:00:00,Technology,SMB,Organic Search,Latin America
org_00232,2025-02-23T00:00:00,Healthcare,SMB,Partner,Europe
org_00233,2025-03-28T00:00:00,Professional Services,Mid-Market,Paid Search,North America
org_00234,2025-05-22T00:00:00,Financial Services,SMB,Product-Led,North America
org_00235,2025-03-21T00:00:00,Professional Services,SMB,Partner,North America
org_00236,2025-07-08T00:00:00,Financial Services,SMB,Organic Search,North America
org_00237,2025-02-23T00:00:00,Retail,SMB,Partner,North America
org_00238,2025-01-03T00:00:00,Retail,Mid-Market,Product-Led,Europe
org_00239,2025-04-27T00:00:00,Financial Services,SMB,Partner,North America
org_00240,2025-12-01T00:00:00,Education,SMB,Organic Search,North America
org_00241,2025-09-24T00:00:00,Healthcare,Mid-Market,Product-Led,North America
org_00242,2025-05-08T00:00:00,Professional Services,Mid-Market,Paid Search,North America
org_00243,2025-03-12T00:00:00,Financial Services,SMB,Content,Asia-Pacific
org_00244,2025-03-07T00:00:00,Education,SMB,Content,Europe
org_00245,2025-08-07T00:00:00,Education,Mid-Market,Partner,North America
org_00246,2025-10-18T00:00:00,Professional Services,SMB,Organic Search,Europe
org_00247,2025-08-01T00:00:00,Retail,Mid-Market,Paid Search,Europe
org_00248,2025-03-05T00:00:00,Technology,SMB,Product-Led,Asia-Pacific
org_00249,2025-08-15T00:00:00,Education,SMB,Partner,Europe
org_00250,2025-12-14T00:00:00,Technology,Mid-Market,Paid Search,Europe
org_00251,2025-07-04T00:00:00,Technology,Mid-Market,Organic Search,Latin America
org_00252,2025-07-20T00:00:00,Healthcare,SMB,Product-Led,North America
org_00253,2025-03-30T00:00:00,Financial Services,SMB,Referral,North America
org_00254,2025-06-01T00:00:00,Financial Services,Mid-Market,Content,Europe
org_00255,2025-11-19T00:00:00,Healthcare,SMB,Organic Search,North America
org_00256,2025-02-06T00:00:00,Technology,Mid-Market,Paid Search,North America
org_00257,2025-03-13T00:00:00,Education,SMB,Organic Search,North America
org_00258,2025-09-17T00:00:00,Retail,Mid-Market,Content,North America
org_00259,2025-12-17T00:00:00,Technology,SMB,Product-Led,North America
org_00260,2025-02-18T00:00:00,Education,SMB,Paid Search,North America
org_00261,2025-03-25T00:00:00,Financial Services,Mid-Market,Referral,North America
org_00262,2025-08-15T00:00:00,Healthcare,SMB,Content,Latin America
org_00263,2025-06-26T00:00:00,Financial Services,SMB,Product-Led,Latin America
org_00264,2025-10-28T00:00:00,Healthcare,Enterprise,Product-Led,North America
org_00265,2025-04-07T00:00:00,Technology,SMB,Organic Search,North America
org_00266,2025-09-15T00:00:00,Education,SMB,Paid Search,North America
org_00267,2025-01-16T00:00:00,Healthcare,SMB,Referral,North America
org_00268,2025-04-18T00:00:00,Professional Services,Mid-Market,Paid Search,North America
org_00269,2025-12-03T00:00:00,Healthcare,SMB,Referral,Asia-Pacific
org_00270,2025-11-17T00:00:00,Professional Services,SMB,Content,North America
org_00271,2025-11-30T00:00:00,Professional Services,SMB,Referral,North America
org_00272,2025-06-05T00:00:00,Technology,SMB,Partner,North America
org_00273,2025-03-16T00:00:00,Professional Services,SMB,Product-Led,Europe
org_00274,2025-11-03T00:00:00,Professional Services,SMB,Paid Search,Asia-Pacific
org_00275,2025-09-10T00:00:00,Technology,SMB,Organic Search,Asia-Pacific
org_00276,2025-02-10T00:00:00,Retail,SMB,Referral,North America
org_00277,2025-12-30T00:00:00,Retail,Mid-Market,Product-Led,North America
org_00278,2025-09-23T00:00:00,Financial Services,SMB,Content,North America
org_00279,2025-04-24T00:00:00,Retail,SMB,Referral,North America
org_00280,2025-03-14T00:00:00,Technology,SMB,Referral,Asia-Pacific
org_00281,2025-04-05T00:00:00,Technology,Mid-Market,Organic Search,North America
org_00282,2025-06-30T00:00:00,Financial Services,Mid-Market,Organic Search,North America
org_00283,2025-09-30T00:00:00,Financial Services,Mid-Market,Partner,North America
org_00284,2025-10-19T00:00:00,Healthcare,Mid-Market,Referral,Latin America
org_00285,2025-04-29T00:00:00,Retail,SMB,Organic Search,North America
org_00286,2025-01-05T00:00:00,Healthcare,SMB,Partner,Europe
org_00287,2025-06-19T00:00:00,Technology,SMB,Referral,North America
org_00288,2025-06-09T00:00:00,Financial Services,SMB,Referral,Asia-Pacific
org_00289,2025-11-12T00:00:00,Financial Services,SMB,Content,Asia-Pacific
org_00290,2025-04-08T00:00:00,Professional Services,SMB,Content,North America
org_00291,2025-12-05T00:00:00,Financial Services,SMB,Partner,North America
org_00292,2025-07-03T00:00:00,Education,Mid-Market,Content,North America
org_00293,2025-06-08T00:00:00,Healthcare,SMB,Product-Led,North America
org_00294,2025-01-15T00:00:00,Financial Services,SMB,Organic Search,North America
org_00295,2025-08-19T00:00:00,Education,Mid-Market,Product-Led,Europe
org_00296,2025-11-08T00:00:00,Education,SMB,Organic Search,Europe
org_00297,2025-06-25T00:00:00,Healthcare,Enterprise,Organic Search,Asia-Pacific
org_00298,2025-06-15T00:00:00,Healthcare,Mid-Market,Paid Search,Europe
org_00299,2025-12-20T00:00:00,Professional Services,Enterprise,Organic Search,Europe
org_00300,2025-09-23T00:00:00,Financial Services,Enterprise,Product-Led,Europe
org_00301,2025-03-22T00:00:00,Technology,SMB,Organic Search,Latin America
org_00302,2025-06-03T00:00:00,Education,SMB,Organic Search,North America
org_00303,2025-07-12T00:00:00,Technology,SMB,Product-Led,Europe
org_00304,2025-09-08T00:00:00,Education,Mid-Market,Referral,Latin America
org_00305,2025-11-19T00:00:00,Education,SMB,Partner,North America
org_00306,2025-09-14T00:00:00,Professional Services,SMB,Product-Led,Europe
org_00307,2025-01-22T00:00:00,Financial Services,SMB,Content,Asia-Pacific
org_00308,2025-09-26T00:00:00,Education,Enterprise,Content,Asia-Pacific
org_00309,2025-10-23T00:00:00,Technology,Enterprise,Organic Search,North America
org_00310,2025-03-22T00:00:00,Retail,Enterprise,Referral,North America
org_00311,2025-03-26T00:00:00,Professional Services,SMB,Content,North America
org_00312,2025-05-24T00:00:00,Financial Services,Mid-Market,Organic Search,Europe
org_00313,2025-10-22T00:00:00,Healthcare,SMB,Organic Search,Europe
org_00314,2025-11-07T00:00:00,Healthcare,SMB,Partner,Europe
org_00315,2025-10-19T00:00:00,Healthcare,SMB,Organic Search,Europe
org_00316,2025-03-01T00:00:00,Healthcare,SMB,Content,North America
org_00317,2025-08-08T00:00:00,Retail,SMB,Partner,North America
org_00318,2025-02-04T00:00:00,Professional Services,SMB,Organic Search,North America
org_00319,2025-05-09T00:00:00,Technology,Mid-Market,Product-Led,Asia-Pacific
org_00320,2025-06-23T00:00:00,Financial Services,Mid-Market,Partner,North America
org_00321,2025-10-18T00:00:00,Technology,Mid-Market,Referral,Latin America
org_00322,2025-03-04T00:00:00,Financial Services,SMB,Organic Search,North America
org_00323,2025-04-15T00:00:00,Healthcare,SMB,Content,North America
org_00324,2025-10-13T00:00:00,Healthcare,Enterprise,Product-Led,Europe
org_00325,2025-01-29T00:00:00,Healthcare,SMB,Paid Search,North America
org_00326,2025-11-27T00:00:00,Education,SMB,Organic Search,Asia-Pacific
org_00327,2025-02-02T00:00:00,Healthcare,SMB,Product-Led,Asia-Pacific
org_00328,2025-10-13T00:00:00,Retail,SMB,Paid Search,North America
org_00329,2025-01-08T00:00:00,Professional Services,Enterprise,Organic Search,Asia-Pacific
org_00330,2025-01-18T00:00:00,Retail,SMB,Referral,North America
org_00331,2025-09-19T00:00:00,Healthcare,Mid-Market,Organic Search,North America
org_00332,2025-11-26T00:00:00,Professional Services,SMB,Content,North America
org_00333,2025-01-03T00:00:00,Education,SMB,Referral,Latin America
org_00334,2025-11-08T00:00:00,Technology,SMB,Content,North America
org_00335,2025-01-14T00:00:00,Retail,SMB,Product-Led,North America
org_00336,2025-09-07T00:00:00,Education,Mid-Market,Partner,North America
org_00337,2025-01-31T00:00:00,Professional Services,Mid-Market,Organic Search,North America
org_00338,2025-08-10T00:00:00,Healthcare,SMB,Partner,North America
org_00339,2025-01-17T00:00:00,Technology,SMB,Content,North America
org_00340,2025-09-01T00:00:00,Financial Services,Mid-Market,Organic Search,North America
org_00341,2025-10-25T00:00:00,Financial Services,Mid-Market,Content,Europe
org_00342,2025-03-13T00:00:00,Retail,SMB,Product-Led,North America
org_00343,2025-05-19T00:00:00,Retail,Mid-Market,Content,North America
org_00344,2025-09-10T00:00:00,Healthcare,Mid-Market,Product-Led,North America
org_00345,2025-03-17T00:00:00,Healthcare,SMB,Organic Search,Latin America
org_00346,2025-04-25T00:00:00,Professional Services,Mid-Market,Paid Search,Asia-Pacific
org_00347,2025-02-16T00:00:00,Professional Services,Enterprise,Organic Search,North America
org_00348,2025-08-14T00:00:00,Technology,SMB,Product-Led,North America
org_00349,2025-03-04T00:00:00,Technology,SMB,Organic Search,North America
org_00350,2025-12-07T00:00:00,Healthcare,SMB,Referral,Europe
org_00351,2025-02-24T00:00:00,Professional Services,SMB,Product-Led,Asia-Pacific
org_00352,2025-05-04T00:00:00,Professional Services,SMB,Product-Led,Europe
org_00353,2025-01-10T00:00:00,Professional Services,SMB,Product-Led,Europe
org_00354,2025-05-22T00:00:00,Retail,Enterprise,Referral,North America
org_00355,2025-01-09T00:00:00,Healthcare,SMB,Product-Led,North America
org_00356,2025-06-13T00:00:00,Financial Services,SMB,Paid Search,Latin America
org_00357,2025-03-24T00:00:00,Financial Services,Mid-Market,Organic Search,North America
org_00358,2025-01-25T00:00:00,Healthcare,SMB,Content,North America
org_00359,2025-07-21T00:00:00,Retail,Mid-Market,Organic Search,North America
org_00360,2025-01-09T00:00:00,Financial Services,SMB,Paid Search,North America
org_00361,2025-01-03T00:00:00,Technology,Enterprise,Product-Led,Europe
org_00362,2025-12-05T00:00:00,Education,Enterprise,Product-Led,Latin America
org_00363,2025-09-30T00:00:00,Education,SMB,Referral,North America
org_00364,2025-04-02T00:00:00,Technology,Enterprise,Organic Search,Europe
org_00365,2025-10-04T00:00:00,Professional Services,Mid-Market,Referral,Europe
org_00366,2025-11-26T00:00:00,Financial Services,Mid-Market,Content,Asia-Pacific
org_00367,2025-07-22T00:00:00,Professional Services,SMB,Paid Search,North America
org_00368,2025-07-26T00:00:00,Healthcare,SMB,Referral,Europe
org_00369,2025-11-01T00:00:00,Professional Services,Mid-Market,Partner,Asia-Pacific
org_00370,2025-05-26T00:00:00,Financial Services,SMB,Product-Led,North America
org_00371,2025-07-30T00:00:00,Education,Mid-Market,Paid Search,North America
org_00372,2025-07-07T00:00:00,Retail,Mid-Market,Organic Search,Asia-Pacific
org_00373,2025-12-12T00:00:00,Professional Services,SMB,Content,Latin America
org_00374,2025-03-13T00:00:00,Education,Mid-Market,Organic Search,Latin America
org_00375,2025-08-26T00:00:00,Healthcare,SMB,Partner,North America
org_00376,2025-06-27T00:00:00,Education,SMB,Product-Led,North America
