opportunity_id,account_id,owner_id,opportunity_stage,amount,expected_close_date,actual_close_date,created_at,sales_region,segment,revenue_model,lead_source,close_date_changes,last_activity_at
OPP_000025,ACC_00590,REP_007,Closed-Lost,17149.69,2025-01-24,2025-04-08,2024-12-21,LATAM,SMB,Advertising,Inbound,0,2025-04-07
OPP_000026,ACC_01141,REP_020,Closed-Lost,2500.0,2025-04-15,2025-03-04,2024-11-23,EMEA,SMB,Subscription,Inbound,1,2025-03-10
OPP_000027,ACC_00295,REP_016,Closed-Won,3442.23,2024-10-18,2024-11-04,2024-06-09,LATAM,Enterprise,Subscription,Outbound,0,2024-08-20
OPP_000028,ACC_00037,REP_011,Closed-Lost,22547.85,2025-07-03,2025-08-29,2025-03-29,North America,SMB,Usage-Based,Outbound,0,2025-07-13
OPP_000029,ACC_00346,REP_023,Qualification,5524.89,2025-12-19,,2025-08-12,APAC,Mid-Market,Advertising,Outbound,0,2025-11-18
OPP_000030,ACC_00076,REP_024,Qualification,4876.45,2024-08-08,,2024-06-05,EMEA,SMB,Advertising,Marketing,0,2024-06-12
OPP_000031,ACC_00735,REP_023,Prospecting,2500.0,2025-06-16,,2025-03-27,APAC,SMB,Subscription,Outbound,3,2025-05-13
OPP_000032,ACC_00231,REP_004,Proposal,24961.14,2025-05-14,,2024-12-31,North America,SMB,Usage-Based,Partner,0,2025-04-11
OPP_000033,ACC_00296,REP_019,Negotiation,62541.77,2025-05-14,,2025-04-05,EMEA,Enterprise,Transactional,Inbound,1,2025-05-28
OPP_000034,ACC_00706,REP_007,Qualification,22252.16,2024-02-18,,2024-01-10,North America,Mid-Market,Advertising,Outbound,1,2024-03-23
OPP_000035,ACC_00391,REP_009,Negotiation,22102.7,2025-06-23,,2025-03-27,EMEA,Mid-Market,Subscription,Inbound,0,2025-05-16
OPP_000036,ACC_00781,REP_030,Prospecting,2500.0,2025-07-06,,2025-05-15,EMEA,SMB,Subscription,Outbound,0,2025-05-17
OPP_000037,ACC_01118,REP_013,Proposal,6092.62,2025-07-14,,2025-03-30,APAC,Mid-Market,Transactional,Partner,3,2025-06-06
OPP_000038,ACC_01118,REP_024,Closed-Won,10386.61,2025-10-27,2025-12-28,2025-07-17,APAC,Mid-Market,Transactional,Marketing,1,2025-09-01
OPP_000039,ACC_00876,REP_008,Prospecting,20837.49,2025-07-17,,2025-05-15,LATAM,Enterprise,Advertising,Outbound,0,2025-08-16
OPP_000040,ACC_01163,REP_030,Closed-Won,33581.82,2025-11-25,2026-01-09,2025-10-21,North America,Enterprise,Advertising,Outbound,0,2026-02-04
OPP_000041,ACC_00884,REP_009,Closed-Won,11480.01,2025-04-23,2025-06-25,2025-03-24,EMEA,SMB,Usage-Based,Inbound,0,2025-04-06
OPP_000042,ACC_00082,REP_006,Negotiation,24553.29,2025-01-10,,2024-10-25,EMEA,SMB,Subscription,Referral,0,2024-12-07
OPP_000043,ACC_01148,REP_010,Closed-Lost,3713.74,2025-09-11,2025-08-09,2025-07-12,EMEA,Mid-Market,Transactional,Inbound,0,2025-08-28
OPP_000044,ACC_00681,REP_006,Closed-Lost,8895.74,2025-05-04,2025-05-23,2025-04-10,North America,SMB,Transactional,Inbound,0,2025-06-30
OPP_000045,ACC_00007,REP_018,Prospecting,33241.14,2025-04-27,,2025-01-08,North America,Mid-Market,Transactional,Inbound,0,2025-02-25
OPP_000046,ACC_00745,REP_005,Closed-Won,6476.38,2025-06-15,2025-04-09,2025-01-22,EMEA,Mid-Market,Subscription,Referral,1,2025-03-31
OPP_000047,ACC_00294,REP_007,Qualification,7400.7,2025-01-16,,2024-08-22,North America,SMB,Enterprise Services,Marketing,2,2024-12-09
OPP_000048,ACC_00642,REP_022,Proposal,26018.21,2025-03-22,,2025-02-15,APAC,Mid-Market,Usage-Based,Inbound,3,2025-04-27
OPP_000049,ACC_00790,REP_002,Negotiation,16501.54,2024-12-22,,2024-11-08,EMEA,Mid-Market,Usage-Based,Inbound,1,2024-11-20
OPP_000050,ACC_00034,REP_014,Closed-Won,17612.44,2024-06-12,2024-08-23,2024-03-28,EMEA,SMB,Subscription,Marketing,0,2024-05-25
OPP_000051,ACC_00526,REP_021,Closed-Won,9866.11,2025-03-08,2025-01-17,2024-10-21,North America,SMB,Enterprise Services,Inbound,0,2025-02-04
OPP_000052,ACC_00067,REP_014,Closed-Won,11945.83,2025-12-31,2026-01-17,2025-09-28,North America,Mid-Market,Advertising,Inbound,0,2025-11-25
OPP_000053,ACC_00136,REP_001,Closed-Won,2777.91,2024-10-28,2025-01-14,2024-08-10,North America,SMB,Subscription,Outbound,0,2024-12-05
OPP_000054,ACC_00254,REP_005,Negotiation,11491.14,2025-08-16,,2025-03-29,North America,SMB,Subscription,Outbound,1,2025-07-15
OPP_000055,ACC_00938,REP_030,Prospecting,9918.29,2025-01-19,,2024-10-05,EMEA,SMB,Advertising,Outbound,1,2024-11-06
OPP_000056,ACC_00496,REP_024,Prospecting,6046.1,2024-12-05,,2024-07-10,EMEA,Mid-Market,Subscription,Partner,1,2024-08-29
OPP_000057,ACC_00057,REP_011,Proposal,16062.12,2025-01-24,,2024-09-14,North America,SMB,Subscription,Marketing,0,2024-10-07
OPP_000058,ACC_00897,REP_027,Closed-Won,31891.24,2026-03-02,2026-01-05,2025-10-04,North America,SMB,Enterprise Services,Outbound,0,2025-10-27
OPP_000059,ACC_00653,REP_001,Prospecting,8432.99,2024-06-15,,2024-03-15,EMEA,Mid-Market,Transactional,Inbound,2,2024-04-28
OPP_000060,ACC_00170,REP_002,Proposal,21282.06,2025-05-30,,2025-03-23,EMEA,Enterprise,Transactional,Inbound,0,2025-05-12
OPP_000061,ACC_00675,REP_027,Qualification,7599.6,2025-08-06,,2025-07-10,EMEA,Mid-Market,Transactional,Marketing,0,2025-08-21
OPP_000062,ACC_00299,REP_021,Negotiation,3045.25,2024-08-26,,2024-05-04,APAC,Mid-Market,Subscription,Inbound,0,2024-07-31
OPP_000063,ACC_00764,REP_018,Proposal,66612.31,2025-07-14,,2025-05-21,North America,SMB,Transactional,Outbound,1,2025-06-09
OPP_000064,ACC_01138,REP_011,Qualification,5728.89,2025-03-23,,2025-03-02,North America,SMB,Subscription,Inbound,0,2025-04-28
OPP_000065,ACC_00379,REP_025,Prospecting,3803.62,2024-12-16,,2024-08-14,North America,SMB,Subscription,Inbound,0,2024-11-28
OPP_000066,ACC_00895,REP_019,Qualification,5288.16,2024-07-12,,2024-04-28,EMEA,Mid-Market,Subscription,Outbound,1,2024-07-25
OPP_000067,ACC_00029,REP_014,Proposal,6088.73,2025-12-25,,2025-09-25,APAC,SMB,Enterprise Services,Inbound,2,2025-10-20
OPP_000068,ACC_00489,REP_012,Closed-Lost,8142.0,2024-09-10,2024-07-21,2024-05-12,North America,Mid-Market,Subscription,Partner,0,2024-06-10
OPP_000069,ACC_01067,REP_011,Qualification,37806.49,2025-11-29,,2025-09-28,APAC,SMB,Transactional,Outbound,1,2026-01-17
OPP_000070,ACC_00090,REP_018,Proposal,4680.98,2025-07-14,,2025-03-10,LATAM,Mid-Market,Transactional,Marketing,0,2025-05-19
OPP_000071,ACC_01116,REP_020,Negotiation,2500.0,2025-10-31,,2025-07-28,EMEA,SMB,Usage-Based,Partner,1,2025-11-10
OPP_000072,ACC_00113,REP_025,Negotiation,15583.17,2024-10-18,,2024-07-17,North America,SMB,Subscription,Inbound,0,2024-10-28
OPP_000073,ACC_00579,REP_013,Qualification,39578.66,2024-03-14,,2024-01-20,North America,Enterprise,Enterprise Services,Marketing,1,2024-03-13
OPP_000074,ACC_00218,REP_008,Prospecting,7181.17,2025-07-15,,2025-03-15,North America,SMB,Transactional,Referral,1,2025-05-17
OPP_000075,ACC_00025,REP_017,Closed-Lost,28556.4,2024-10-26,2025-01-18,2024-09-05,North America,Mid-Market,Usage-Based,Inbound,0,2024-10-19
OPP_000076,ACC_00420,REP_018,Closed-Lost,50511.86,2025-04-13,2025-03-10,2025-01-03,North America,Enterprise,Transactional,Partner,0,2025-03-20
OPP_000077,ACC_00698,REP_009,Proposal,15571.26,2025-03-09,,2024-11-02,North America,Mid-Market,Subscription,Partner,1,2025-01-19
OPP_000078,ACC_00867,REP_003,Negotiation,10803.29,2024-09-07,,2024-08-03,North America,Enterprise,Advertising,Partner,0,2024-10-23
OPP_000079,ACC_00380,REP_010,Prospecting,3077.6,2025-07-07,,2025-04-26,North America,Mid-Market,Subscription,Inbound,1,2025-08-07
OPP_000080,ACC_00591,REP_003,Prospecting,21868.96,2025-03-19,,2024-12-01,EMEA,Enterprise,Subscription,Inbound,0,2025-02-28
OPP_000081,ACC_00219,REP_003,Prospecting,14896.58,2025-04-25,,2025-03-01,EMEA,Enterprise,Subscription,Inbound,0,2025-03-14
OPP_000082,ACC_00876,REP_029,Closed-Won,57667.99,2025-04-18,2025-06-13,2025-03-26,LATAM,Enterprise,Advertising,Inbound,1,2025-05-07
OPP_000083,ACC_00203,REP_024,Qualification,2700.75,2025-06-11,,2025-03-30,APAC,Mid-Market,Advertising,Outbound,0,2025-06-06
OPP_000084,ACC_01034,REP_002,Qualification,28172.22,2024-11-01,,2024-08-09,EMEA,Enterprise,Subscription,Marketing,1,2024-10-23
OPP_000085,ACC_00216,REP_011,Prospecting,13724.33,2025-10-15,,2025-05-29,North America,Mid-Market,Subscription,Outbound,0,2025-09-09
OPP_000086,ACC_00797,REP_008,Prospecting,8625.75,2024-09-28,,2024-05-27,LATAM,SMB,Transactional,Outbound,0,2024-07-16
OPP_000087,ACC_00398,REP_030,Proposal,13374.8,2025-11-09,,2025-09-27,North America,SMB,Subscription,Inbound,0,2026-01-03
OPP_000088,ACC_01196,REP_014,Negotiation,6474.48,2025-08-21,,2025-06-26,North America,SMB,Enterprise Services,Outbound,0,2025-08-12
OPP_000089,ACC_00337,REP_008,Negotiation,4603.95,2025-02-17,,2025-01-04,North America,SMB,Subscription,Marketing,1,2025-01-22
OPP_000090,ACC_01139,REP_020,Proposal,31152.29,2024-09-15,,2024-04-30,EMEA,SMB,Transactional,Marketing,0,2024-06-26
OPP_000091,ACC_01004,REP_015,Proposal,6516.75,2025-11-01,,2025-08-28,EMEA,SMB,Advertising,Outbound,0,2025-09-15
OPP_000092,ACC_00562,REP_006,Closed-Won,37097.07,2025-05-21,2025-06-16,2025-01-06,North America,SMB,Subscription,Outbound,3,2025-02-24
OPP_000093,ACC_00595,REP_010,Qualification,6483.63,2025-07-26,,2025-06-29,North America,SMB,Enterprise Services,Inbound,0,2025-07-28
OPP_000094,ACC_00425,REP_004,Qualification,16054.27,2024-04-20,,2024-01-19,North America,Mid-Market,Subscription,Referral,0,2024-01-23
OPP_000095,ACC_00514,REP_021,Closed-Won,7811.99,2024-09-12,2024-11-09,2024-08-14,EMEA,SMB,Transactional,Inbound,2,2024-11-01
OPP_000096,ACC_00560,REP_030,Closed-Won,20562.38,2024-10-19,2024-09-13,2024-07-19,APAC,Mid-Market,Subscription,Outbound,1,2024-10-16
OPP_000097,ACC_00176,REP_025,Proposal,5897.68,2025-07-20,,2025-06-29,North America,SMB,Enterprise Services,Outbound,0,2025-07-15
OPP_000098,ACC_00388,REP_012,Qualification,48503.28,2024-12-17,,2024-11-07,North America,Enterprise,Subscription,Inbound,3,2025-01-16
OPP_000099,ACC_01052,REP_015,Prospecting,41480.43,2024-04-27,,2024-03-19,APAC,SMB,Subscription,Inbound,0,2024-05-18
OPP_000100,ACC_01175,REP_002,Prospecting,46576.52,2025-06-08,,2025-02-16,LATAM,Mid-Market,Subscription,Referral,0,2025-03-05
OPP_000101,ACC_00066,REP_012,Closed-Won,46898.38,2024-07-28,2024-09-15,2024-04-16,North America,Mid-Market,Usage-Based,Inbound,0,2024-06-28
OPP_000102,ACC_00879,REP_001,Negotiation,4264.45,2025-01-26,,2024-10-26,APAC,Mid-Market,Transactional,Inbound,2,2024-11-27
OPP_000103,ACC_00288,REP_023,Prospecting,2757.4,2025-12-10,,2025-10-26,North America,SMB,Enterprise Services,Inbound,0,2026-02-01
OPP_000104,ACC_00785,REP_028,Qualification,54775.74,2024-12-11,,2024-10-18,EMEA,Enterprise,Transactional,Inbound,1,2024-12-30
OPP_000105,ACC_00746,REP_006,Qualification,35268.23,2024-12-22,,2024-10-14,North America,Mid-Market,Subscription,Referral,0,2024-10-28
OPP_000106,ACC_01055,REP_021,Qualification,5340.25,2024-06-22,,2024-01-27,North America,SMB,Subscription,Partner,0,2024-03-29
OPP_000107,ACC_00843,REP_018,Negotiation,8122.68,2025-02-23,,2024-11-04,APAC,Mid-Market,Transactional,Marketing,1,2024-11-18
OPP_000108,ACC_00989,REP_013,Proposal,36170.75,2025-10-27,,2025-10-03,APAC,SMB,Subscription,Marketing,3,2025-12-29
OPP_000109,ACC_00962,REP_023,Closed-Lost,17819.34,2025-10-23,2026-01-28,2025-09-29,LATAM,SMB,Subscription,Partner,0,2025-11-04
OPP_000110,ACC_00777,REP_021,Closed-Won,47003.94,2025-12-11,2026-02-25,2025-10-07,LATAM,Mid-Market,Subscription,Outbound,0,2025-12-05
OPP_000111,ACC_00493,REP_009,Closed-Lost,10493.91,2024-10-16,2024-11-06,2024-08-30,APAC,Mid-Market,Usage-Based,Outbound,1,2024-11-21
OPP_000112,ACC_00405,REP_024,Closed-Lost,26192.57,2024-04-25,2024-07-06,2024-02-13,North America,Enterprise,Subscription,Partner,0,2024-05-24
OPP_000113,ACC_00417,REP_020,Closed-Lost,23180.2,2024-11-03,2024-11-25,2024-06-07,North America,SMB,Subscription,Partner,0,2024-08-07
OPP_000114,ACC_00431,REP_010,Closed-Lost,33878.16,2024-07-05,2024-07-01,2024-05-21,APAC,Enterprise,Subscription,Partner,0,2024-05-31
OPP_000115,ACC_00347,REP_023,Qualification,23918.19,2024-05-29,,2024-02-22,APAC,Enterprise,Enterprise Services,Outbound,2,2024-03-24
OPP_000116,ACC_00373,REP_020,Qualification,3601.0,2025-07-11,,2025-04-20,APAC,SMB,Enterprise Services,Partner,0,2025-07-02
OPP_000117,ACC_00682,REP_004,Qualification,5382.28,2025-03-31,,2024-12-16,North America,SMB,Usage-Based,Inbound,0,2024-12-21
OPP_000118,ACC_00325,REP_005,Negotiation,105697.37,2025-07-28,,2025-04-28,EMEA,Enterprise,Advertising,Outbound,0,2025-06-12
OPP_000119,ACC_00419,REP_010,Closed-Won,2500.0,2024-08-08,2024-06-28,2024-05-13,North America,SMB,Usage-Based,Outbound,0,2024-06-21
OPP_000120,ACC_00851,REP_002,Prospecting,16835.0,2025-06-05,,2025-04-11,APAC,SMB,Enterprise Services,Outbound,0,2025-05-18
OPP_000121,ACC_00394,REP_013,Closed-Won,8036.76,2024-07-07,2024-05-31,2024-02-13,EMEA,Mid-Market,Subscription,Outbound,0,2024-06-06
OPP_000122,ACC_00128,REP_014,Closed-Won,7272.55,2025-06-21,2025-09-09,2025-04-28,North America,SMB,Subscription,Marketing,0,2025-08-19
OPP_000123,ACC_00021,REP_024,Negotiation,14097.52,2025-08-05,,2025-06-28,EMEA,Mid-Market,Enterprise Services,Marketing,0,2025-10-13
OPP_000124,ACC_00919,REP_006,Proposal,7196.99,2024-07-20,,2024-06-18,North America,SMB,Subscription,Inbound,0,2024-09-29
OPP_000125,ACC_01138,REP_018,Qualification,6734.75,2024-09-05,,2024-08-08,North America,SMB,Subscription,Outbound,2,2024-11-23
OPP_000126,ACC_00820,REP_020,Proposal,5754.9,2024-12-22,,2024-10-18,North America,SMB,Enterprise Services,Inbound,0,2024-11-09
OPP_000127,ACC_00073,REP_014,Qualification,24880.18,2025-05-29,,2025-01-23,EMEA,Enterprise,Subscription,Inbound,0,2025-03-11
OPP_000128,ACC_00677,REP_028,Negotiation,164888.59,2025-01-29,,2024-12-20,North America,Enterprise,Subscription,Inbound,0,2024-12-27
OPP_000129,ACC_00326,REP_010,Qualification,16731.51,2024-03-31,,2024-03-11,North America,Mid-Market,Subscription,Marketing,0,2024-06-14
OPP_000130,ACC_00385,REP_013,Qualification,7912.62,2024-12-07,,2024-09-10,North America,SMB,Subscription,Marketing,1,2024-12-23
OPP_000131,ACC_01106,REP_001,Proposal,8564.21,2025-03-07,,2024-12-04,APAC,Mid-Market,Subscription,Inbound,1,2024-12-08
OPP_000132,ACC_00990,REP_013,Negotiation,10851.47,2025-05-19,,2025-02-15,North America,Mid-Market,Subscription,Marketing,1,2025-03-08
OPP_000133,ACC_00883,REP_001,Proposal,23204.01,2025-03-19,,2025-02-27,North America,Enterprise,Subscription,Outbound,0,2025-03-20
OPP_000134,ACC_00602,REP_030,Closed-Lost,35078.52,2025-05-07,2025-04-06,2025-03-22,North America,Mid-Market,Subscription,Marketing,3,2025-07-11
OPP_000135,ACC_00694,REP_008,Prospecting,4224.11,2025-01-01,,2024-10-28,North America,SMB,Usage-Based,Outbound,0,2025-01-31
OPP_000136,ACC_01100,REP_025,Closed-Lost,2500.0,2025-03-28,2025-03-17,2024-12-02,North America,SMB,Subscription,Partner,0,2025-01-05
OPP_000137,ACC_00793,REP_004,Prospecting,9513.54,2024-11-26,,2024-08-14,EMEA,SMB,Transactional,Outbound,0,2024-08-20
OPP_000138,ACC_00695,REP_009,Qualification,33318.26,2024-11-03,,2024-07-01,APAC,Enterprise,Subscription,Inbound,0,2024-08-19
OPP_000139,ACC_00117,REP_004,Closed-Lost,9083.47,2024-10-26,2024-09-01,2024-07-27,EMEA,Mid-Market,Subscription,Inbound,0,2024-10-05
OPP_000140,ACC_01196,REP_012,Closed-Won,22330.73,2024-12-31,2025-04-14,2024-10-20,North America,SMB,Enterprise Services,Partner,0,2024-10-26
OPP_000141,ACC_00971,REP_019,Negotiation,2500.0,2024-06-14,,2024-03-14,APAC,SMB,Transactional,Marketing,1,2024-05-09
OPP_000142,ACC_00438,REP_013,Closed-Won,78924.27,2024-08-04,2024-10-07,2024-05-26,North America,Mid-Market,Subscription,Partner,1,2024-07-29
OPP_000143,ACC_00301,REP_019,Proposal,46848.66,2024-04-27,,2024-03-18,EMEA,Mid-Market,Subscription,Marketing,0,2024-07-13
OPP_000144,ACC_01162,REP_025,Closed-Won,8707.56,2025-01-02,2025-03-28,2024-09-30,North America,Mid-Market,Subscription,Inbound,0,2024-10-23
OPP_000145,ACC_01148,REP_002,Qualification,10396.41,2025-01-25,,2024-11-28,EMEA,Mid-Market,Transactional,Marketing,0,2024-12-20
OPP_000146,ACC_00505,REP_013,Closed-Won,27021.47,2024-06-12,2024-06-08,2024-04-19,North America,Mid-Market,Transactional,Marketing,1,2024-06-10
OPP_000147,ACC_00278,REP_018,Closed-Lost,27756.24,2024-07-24,2024-08-26,2024-04-03,North America,Mid-Market,Transactional,Outbound,0,2024-05-12
OPP_000148,ACC_00958,REP_016,Closed-Won,8656.95,2025-01-15,2025-03-06,2024-12-18,North America,Mid-Market,Advertising,Outbound,0,2025-04-07
OPP_000149,ACC_00751,REP_005,Closed-Won,2500.0,2024-06-21,2024-06-30,2024-05-29,North America,SMB,Subscription,Inbound,0,2024-08-31
OPP_000150,ACC_01081,REP_007,Negotiation,74299.22,2025-10-09,,2025-08-04,North America,SMB,Usage-Based,Inbound,0,2025-09-04
OPP_000151,ACC_00655,REP_012,Proposal,114619.8,2024-07-26,,2024-04-20,LATAM,Enterprise,Advertising,Inbound,0,2024-05-30
OPP_000152,ACC_00663,REP_020,Proposal,10498.8,2025-03-27,,2024-11-18,North America,SMB,Subscription,Marketing,1,2025-02-02
OPP_000153,ACC_00172,REP_030,Closed-Lost,19453.36,2025-09-16,2025-09-23,2025-06-21,North America,Mid-Market,Subscription,Marketing,1,2025-10-03
OPP_000154,ACC_00724,REP_012,Negotiation,82007.73,2024-05-02,,2024-03-10,EMEA,Enterprise,Subscription,Inbound,3,2024-04-04
OPP_000155,ACC_00436,REP_016,Proposal,18830.37,2024-12-31,,2024-10-28,EMEA,SMB,Subscription,Referral,0,2024-12-03
OPP_000156,ACC_00247,REP_010,Closed-Won,2500.0,2025-01-20,2025-02-12,2024-11-12,North America,Mid-Market,Enterprise Services,Marketing,0,2025-01-24
OPP_000157,ACC_00938,REP_002,Prospecting,6318.84,2025-03-09,,2025-01-05,EMEA,SMB,Advertising,Partner,1,2025-04-18
OPP_000158,ACC_00415,REP_012,Closed-Won,5694.94,2025-11-30,2025-11-21,2025-08-16,North America,SMB,Advertising,Referral,0,2025-09-20
OPP_000159,ACC_00256,REP_011,Closed-Won,13885.01,2025-05-28,2025-06-29,2025-01-25,North America,Mid-Market,Usage-Based,Marketing,0,2025-03-22
OPP_000160,ACC_01153,REP_005,Qualification,19398.61,2024-12-30,,2024-09-09,North America,SMB,Enterprise Services,Inbound,1,2024-11-30
OPP_000161,ACC_01156,REP_021,Prospecting,2500.0,2024-11-30,,2024-09-22,EMEA,SMB,Transactional,Referral,0,2024-11-12
OPP_000162,ACC_00594,REP_008,Closed-Won,4233.81,2025-04-20,2025-04-24,2025-02-22,North America,Mid-Market,Usage-Based,Outbound,0,2025-05-25
OPP_000163,ACC_00355,REP_007,Qualification,4538.8,2024-08-17,,2024-07-18,North America,SMB,Subscription,Inbound,0,2024-09-18
OPP_000164,ACC_00195,REP_012,Closed-Lost,10472.5,2025-08-04,2025-08-01,2025-04-03,EMEA,SMB,Subscription,Inbound,0,2025-07-17
OPP_000165,ACC_00753,REP_029,Prospecting,20625.61,2025-02-05,,2024-09-13,North America,SMB,Transactional,Partner,0,2024-11-25
OPP_000166,ACC_00733,REP_020,Qualification,45866.32,2024-03-08,,2024-02-10,North America,SMB,Usage-Based,Referral,0,2024-05-30
OPP_000167,ACC_00743,REP_013,Prospecting,33087.06,2025-01-29,,2024-12-24,EMEA,Enterprise,Subscription,Outbound,0,2025-04-06
OPP_000168,ACC_00922,REP_025,Closed-Won,101086.58,2024-08-03,2024-08-03,2024-06-17,North America,Enterprise,Transactional,Partner,1,2024-07-16
OPP_000169,ACC_00565,REP_001,Negotiation,33195.26,2024-12-29,,2024-08-28,APAC,Mid-Market,Subscription,Inbound,2,2024-12-13
OPP_000170,ACC_00820,REP_011,Closed-Won,15426.35,2024-09-21,2025-01-11,2024-08-04,North America,SMB,Enterprise Services,Marketing,2,2024-08-20
OPP_000171,ACC_00787,REP_017,Closed-Lost,15926.17,2024-04-22,2024-06-30,2024-04-01,EMEA,Mid-Market,Subscription,Inbound,1,2024-05-05
OPP_000172,ACC_00955,REP_015,Negotiation,29546.48,2024-09-13,,2024-07-12,North America,Enterprise,Transactional,Partner,0,2024-07-18
OPP_000173,ACC_00893,REP_021,Qualification,3092.59,2025-11-10,,2025-09-04,North America,SMB,Subscription,Partner,0,2025-09-17
OPP_000174,ACC_00044,REP_022,Prospecting,2894.51,2024-10-12,,2024-08-02,North America,SMB,Enterprise Services,Inbound,0,2024-10-27
OPP_000175,ACC_00743,REP_014,Closed-Lost,62338.44,2025-07-30,2025-09-28,2025-05-05,EMEA,Enterprise,Subscription,Referral,0,2025-05-19
OPP_000176,ACC_01171,REP_028,Qualification,8499.31,2024-11-20,,2024-09-30,North America,SMB,Advertising,Referral,1,2024-10-23
OPP_000177,ACC_00672,REP_028,Closed-Lost,10769.71,2024-03-08,2024-04-13,2024-02-14,North America,Mid-Market,Subscription,Outbound,0,2024-04-03
OPP_000178,ACC_00636,REP_015,Closed-Lost,17447.85,2025-08-17,2025-09-19,2025-07-15,North America,SMB,Subscription,Marketing,2,2025-10-19
OPP_000179,ACC_00728,REP_028,Negotiation,7344.26,2025-12-22,,2025-08-29,North America,SMB,Subscription,Marketing,0,2025-12-04
OPP_000180,ACC_00672,REP_020,Negotiation,6547.38,2024-09-19,,2024-06-06,North America,Mid-Market,Subscription,Inbound,0,2024-09-29
OPP_000181,ACC_00483,REP_005,Closed-Lost,12500.23,2024-06-16,2024-10-18,2024-04-24,LATAM,Mid-Market,Usage-Based,Inbound,1,2024-05-01
OPP_000182,ACC_01193,REP_004,Closed-Won,100095.66,2026-02-04,2025-11-01,2025-09-15,LATAM,Enterprise,Advertising,Partner,0,2025-10-03
