lead_id,account_id,lead_source,campaign,channel,created_at,lifecycle_stage,company_size,segment
LEAD_000081,ACC_00774,Outbound,SDR Outbound,Outbound,2025-11-27,Converted,1000+,Enterprise
LEAD_000082,ACC_00725,Referral,Customer Referral,Referral,2025-02-19,SQL,1-99,SMB
LEAD_000083,ACC_01009,Partner,Cloud Partner,Partner,2024-03-16,Lead,100-999,Mid-Market
LEAD_000084,ACC_00962,Organic,Content Hub,Organic,2024-07-30,MQL,1-99,SMB
LEAD_000085,ACC_00018,Paid Social,LinkedIn Demand Gen,Paid Social,2024-12-04,SQL,1-99,SMB
LEAD_000086,ACC_00109,Organic,Content Hub,Organic,2025-05-29,SQL,1-99,SMB
LEAD_000087,ACC_00426,Organic,Product Blog,Organic,2025-05-04,MQL,100-999,Mid-Market
LEAD_000088,ACC_01151,Partner,Technology Partner,Partner,2025-08-22,Lead,1-99,SMB
LEAD_000089,ACC_00573,Outbound,SDR Outbound,Outbound,2024-01-22,Lead,100-999,Mid-Market
LEAD_000090,ACC_01071,Organic,Product Blog,Organic,2024-12-06,MQL,1000+,Enterprise
LEAD_000091,ACC_00072,Outbound,Named Account Outreach,Outbound,2025-05-27,MQL,1-99,SMB
LEAD_000092,ACC_01156,Outbound,SDR Outbound,Outbound,2025-12-22,Lead,1-99,SMB
LEAD_000093,ACC_00074,Outbound,SDR Outbound,Outbound,2024-04-14,Lead,1-99,SMB
LEAD_000094,ACC_00971,Paid Search,Search - Brand,Paid Search,2025-10-04,Lead,1-99,SMB
LEAD_000095,ACC_01053,Paid Search,Search - Nonbrand,Paid Search,2024-01-06,MQL,1-99,SMB
LEAD_000096,ACC_00354,Organic,Content Hub,Organic,2024-05-23,Lead,100-999,Mid-Market
LEAD_000097,ACC_00361,Paid Search,Search - Nonbrand,Paid Search,2025-09-11,Lead,1000+,Enterprise
LEAD_000098,ACC_00698,Paid Search,Search - Brand,Paid Search,2025-07-29,Lead,100-999,Mid-Market
LEAD_000099,ACC_00867,Paid Search,Search - Brand,Paid Search,2025-12-12,Converted,1000+,Enterprise
LEAD_000100,ACC_00145,Organic,Product Blog,Organic,2025-03-15,MQL,1-99,SMB
LEAD_000101,ACC_00285,Organic,Product Blog,Organic,2025-03-26,Lead,100-999,Mid-Market
LEAD_000102,ACC_00906,Referral,Employee Referral,Referral,2025-01-25,Lead,100-999,Mid-Market
LEAD_000103,ACC_00969,Outbound,SDR Outbound,Outbound,2025-01-09,Lead,100-999,Mid-Market
LEAD_000104,ACC_00185,Paid Search,Search - Competitor,Paid Search,2025-01-10,MQL,100-999,Mid-Market
LEAD_000105,ACC_01068,Referral,Employee Referral,Referral,2024-08-01,MQL,100-999,Mid-Market
LEAD_000106,ACC_01041,Paid Search,Search - Nonbrand,Paid Search,2025-09-15,MQL,1-99,SMB
LEAD_000107,ACC_01042,Paid Social,Paid Social Retargeting,Paid Social,2024-09-17,MQL,100-999,Mid-Market
LEAD_000108,ACC_00289,Events,Webinar,Events,2025-03-22,Lead,100-999,Mid-Market
LEAD_000109,ACC_00803,Paid Social,LinkedIn ABM,Paid Social,2025-05-04,Lead,1000+,Enterprise
LEAD_000110,ACC_00193,Paid Search,Search - Nonbrand,Paid Search,2025-01-28,Lead,1-99,SMB
LEAD_000111,ACC_00236,Paid Search,Search - Brand,Paid Search,2025-03-22,MQL,100-999,Mid-Market
LEAD_000112,ACC_00086,Paid Social,LinkedIn ABM,Paid Social,2024-02-05,Lead,1-99,SMB
LEAD_000113,ACC_00592,Partner,Technology Partner,Partner,2024-08-18,SQL,1-99,SMB
LEAD_000114,ACC_00854,Paid Social,Paid Social Retargeting,Paid Social,2024-11-23,Lead,1000+,Enterprise
LEAD_000115,ACC_00239,Paid Social,Paid Social Retargeting,Paid Social,2024-10-15,MQL,1-99,SMB
LEAD_000116,ACC_00224,Paid Search,Search - Nonbrand,Paid Search,2025-10-25,Lead,1000+,Enterprise
LEAD_000117,ACC_00333,Paid Social,Paid Social Retargeting,Paid Social,2025-10-17,Lead,100-999,Mid-Market
LEAD_000118,ACC_00238,Organic,Product Blog,Organic,2025-06-04,MQL,100-999,Mid-Market
LEAD_000119,ACC_01000,Events,Webinar,Events,2024-09-14,Lead,1-99,SMB
LEAD_000120,ACC_00204,Outbound,Named Account Outreach,Outbound,2024-02-07,Lead,1-99,SMB
LEAD_000121,ACC_00335,Paid Social,LinkedIn Demand Gen,Paid Social,2025-07-06,Lead,1-99,SMB
LEAD_000122,ACC_00367,Outbound,SDR Outbound,Outbound,2025-10-08,MQL,100-999,Mid-Market
LEAD_000123,ACC_00244,Organic,SEO,Organic,2024-12-23,Lead,100-999,Mid-Market
LEAD_000124,ACC_01130,Paid Search,Search - Competitor,Paid Search,2025-08-27,Converted,1000+,Enterprise
LEAD_000125,ACC_00252,Paid Social,LinkedIn Demand Gen,Paid Social,2025-11-11,Converted,1000+,Enterprise
LEAD_000126,ACC_00584,Paid Social,LinkedIn ABM,Paid Social,2025-02-03,SQL,1-99,SMB
LEAD_000127,ACC_00680,Outbound,SDR Outbound,Outbound,2024-06-02,Lead,1-99,SMB
LEAD_000128,ACC_00314,Referral,Customer Referral,Referral,2024-01-17,MQL,1-99,SMB
LEAD_000129,ACC_00566,Paid Search,Search - Brand,Paid Search,2025-07-07,Lead,100-999,Mid-Market
LEAD_000130,ACC_00205,Paid Search,Search - Competitor,Paid Search,2025-02-15,SQL,1-99,SMB
LEAD_000131,ACC_00580,Partner,Cloud Partner,Partner,2024-04-22,MQL,1-99,SMB
LEAD_000132,ACC_00023,Paid Search,Search - Competitor,Paid Search,2024-02-09,Lead,1000+,Enterprise
LEAD_000133,ACC_00527,Organic,Content Hub,Organic,2025-12-09,MQL,1000+,Enterprise
LEAD_000134,ACC_00438,Referral,Customer Referral,Referral,2024-08-22,SQL,100-999,Mid-Market
LEAD_000135,ACC_00421,Events,Webinar,Events,2024-08-27,SQL,100-999,Mid-Market
LEAD_000136,ACC_00133,Referral,Employee Referral,Referral,2025-04-04,MQL,100-999,Mid-Market
LEAD_000137,ACC_01199,Organic,Product Blog,Organic,2024-09-23,MQL,1-99,SMB
LEAD_000138,ACC_00033,Organic,Content Hub,Organic,2025-10-29,SQL,1-99,SMB
LEAD_000139,ACC_00176,Paid Social,Paid Social Retargeting,Paid Social,2025-05-12,SQL,1-99,SMB
LEAD_000140,ACC_00124,Referral,Employee Referral,Referral,2024-09-18,SQL,1-99,SMB
LEAD_000141,ACC_01174,Organic,Product Blog,Organic,2024-07-13,Lead,100-999,Mid-Market
LEAD_000142,ACC_00383,Organic,SEO,Organic,2025-09-20,MQL,100-999,Mid-Market
LEAD_000143,ACC_00518,Organic,Product Blog,Organic,2025-03-08,SQL,100-999,Mid-Market
LEAD_000144,ACC_00902,Outbound,SDR Outbound,Outbound,2025-11-02,Lead,1-99,SMB
LEAD_000145,ACC_00061,Outbound,Named Account Outreach,Outbound,2024-09-09,Lead,100-999,Mid-Market
LEAD_000146,ACC_00081,Outbound,Named Account Outreach,Outbound,2024-01-16,Lead,100-999,Mid-Market
LEAD_000147,ACC_00220,Organic,SEO,Organic,2025-10-19,Lead,1-99,SMB
LEAD_000148,ACC_00815,Outbound,Named Account Outreach,Outbound,2024-06-24,SQL,1-99,SMB
LEAD_000149,ACC_01175,Paid Social,LinkedIn Demand Gen,Paid Social,2025-09-10,Lead,100-999,Mid-Market
LEAD_000150,ACC_00745,Organic,SEO,Organic,2025-06-02,MQL,100-999,Mid-Market
LEAD_000151,ACC_01047,Paid Search,Search - Nonbrand,Paid Search,2024-06-18,Lead,1-99,SMB
LEAD_000152,ACC_01059,Paid Social,LinkedIn ABM,Paid Social,2025-07-07,Converted,100-999,Mid-Market
LEAD_000153,ACC_00332,Paid Search,Search - Competitor,Paid Search,2024-02-29,SQL,1-99,SMB
LEAD_000154,ACC_00221,Referral,Employee Referral,Referral,2024-10-13,MQL,1-99,SMB
LEAD_000155,ACC_00193,Paid Social,Paid Social Retargeting,Paid Social,2024-09-17,MQL,1-99,SMB
LEAD_000156,ACC_00954,Paid Search,Search - Brand,Paid Search,2025-04-25,Lead,1-99,SMB
LEAD_000157,ACC_00804,Outbound,SDR Outbound,Outbound,2025-01-25,SQL,100-999,Mid-Market
LEAD_000158,ACC_01038,Partner,Technology Partner,Partner,2025-03-23,MQL,1-99,SMB
LEAD_000159,ACC_00609,Organic,Content Hub,Organic,2024-12-14,Lead,100-999,Mid-Market
LEAD_000160,ACC_01172,Partner,Technology Partner,Partner,2025-06-24,Converted,100-999,Mid-Market
LEAD_000161,ACC_01073,Paid Search,Search - Competitor,Paid Search,2024-04-27,Lead,1-99,SMB
LEAD_000162,ACC_00971,Paid Search,Search - Competitor,Paid Search,2025-06-09,MQL,1-99,SMB
LEAD_000163,ACC_00964,Outbound,SDR Outbound,Outbound,2024-02-06,Lead,1-99,SMB
LEAD_000164,ACC_00149,Partner,Cloud Partner,Partner,2024-03-03,MQL,1-99,SMB
LEAD_000165,ACC_00894,Paid Search,Search - Nonbrand,Paid Search,2025-06-12,Lead,1-99,SMB
LEAD_000166,ACC_01137,Organic,SEO,Organic,2024-04-25,Lead,1-99,SMB
LEAD_000167,ACC_00351,Paid Social,Paid Social Retargeting,Paid Social,2025-07-16,MQL,100-999,Mid-Market
LEAD_000168,ACC_00978,Paid Search,Search - Competitor,Paid Search,2024-04-07,Converted,1-99,SMB
LEAD_000169,ACC_00421,Referral,Customer Referral,Referral,2024-04-17,Lead,100-999,Mid-Market
LEAD_000170,ACC_00255,Paid Social,Paid Social Retargeting,Paid Social,2025-11-12,MQL,1-99,SMB
LEAD_000171,ACC_00877,Events,Webinar,Events,2024-05-09,MQL,1-99,SMB
LEAD_000172,ACC_00199,Paid Search,Search - Nonbrand,Paid Search,2025-10-29,SQL,1-99,SMB
LEAD_000173,ACC_00578,Events,Industry Conference,Events,2024-09-11,Lead,100-999,Mid-Market
LEAD_000174,ACC_01124,Organic,SEO,Organic,2025-08-05,MQL,1-99,SMB
LEAD_000175,ACC_00189,Paid Search,Search - Nonbrand,Paid Search,2025-11-17,Converted,100-999,Mid-Market
LEAD_000176,ACC_00187,Organic,Content Hub,Organic,2024-03-26,Lead,1-99,SMB
LEAD_000177,ACC_01132,Organic,SEO,Organic,2024-08-29,Lead,100-999,Mid-Market
LEAD_000178,ACC_00933,Referral,Customer Referral,Referral,2025-02-23,SQL,1-99,SMB
LEAD_000179,ACC_00554,Outbound,SDR Outbound,Outbound,2025-09-24,Lead,1000+,Enterprise
LEAD_000180,ACC_00487,Partner,Technology Partner,Partner,2024-05-16,Lead,1-99,SMB
LEAD_000181,ACC_01157,Paid Social,LinkedIn ABM,Paid Social,2024-05-16,Lead,1-99,SMB
LEAD_000182,ACC_00869,Partner,Cloud Partner,Partner,2024-09-26,SQL,1-99,SMB
LEAD_000183,ACC_01090,Partner,Technology Partner,Partner,2024-05-29,Converted,1-99,SMB
LEAD_000184,ACC_00111,Events,Webinar,Events,2024-07-14,MQL,1-99,SMB
LEAD_000185,ACC_00637,Partner,Cloud Partner,Partner,2024-04-04,MQL,100-999,Mid-Market
LEAD_000186,ACC_00871,Outbound,SDR Outbound,Outbound,2025-08-28,Lead,100-999,Mid-Market
LEAD_000187,ACC_00043,Paid Search,Search - Brand,Paid Search,2025-08-05,Lead,100-999,Mid-Market
LEAD_000188,ACC_00615,Referral,Employee Referral,Referral,2024-04-15,Lead,1-99,SMB
LEAD_000189,ACC_00067,Organic,Product Blog,Organic,2025-01-27,Lead,100-999,Mid-Market
LEAD_000190,ACC_01081,Paid Search,Search - Brand,Paid Search,2025-04-17,Lead,1-99,SMB
LEAD_000191,ACC_00818,Referral,Employee Referral,Referral,2025-04-03,MQL,100-999,Mid-Market
LEAD_000192,ACC_00227,Organic,Product Blog,Organic,2025-12-20,Lead,1-99,SMB
LEAD_000193,ACC_00626,Organic,Product Blog,Organic,2025-04-13,Lead,1-99,SMB
LEAD_000194,ACC_00132,Paid Search,Search - Nonbrand,Paid Search,2025-05-17,Lead,1000+,Enterprise
LEAD_000195,ACC_00965,Paid Social,LinkedIn ABM,Paid Social,2024-01-25,MQL,1000+,Enterprise
LEAD_000196,ACC_00236,Referral,Customer Referral,Referral,2024-02-27,Lead,100-999,Mid-Market
LEAD_000197,ACC_00729,Events,Executive Roundtable,Events,2025-03-28,Lead,1-99,SMB
LEAD_000198,ACC_00095,Paid Social,LinkedIn Demand Gen,Paid Social,2025-10-25,Lead,1-99,SMB
LEAD_000199,ACC_00190,Referral,Employee Referral,Referral,2024-10-18,MQL,1-99,SMB
LEAD_000200,ACC_01177,Partner,Technology Partner,Partner,2025-04-15,SQL,1-99,SMB
LEAD_000201,ACC_00464,Events,Executive Roundtable,Events,2024-06-02,SQL,1-99,SMB
LEAD_000202,ACC_00148,Paid Search,Search - Nonbrand,Paid Search,2024-11-29,SQL,100-999,Mid-Market
LEAD_000203,ACC_00840,Paid Social,LinkedIn Demand Gen,Paid Social,2025-07-03,MQL,100-999,Mid-Market
LEAD_000204,ACC_00242,Organic,Product Blog,Organic,2025-04-27,Converted,100-999,Mid-Market
LEAD_000205,ACC_00708,Organic,Content Hub,Organic,2024-03-24,MQL,100-999,Mid-Market
LEAD_000206,ACC_00972,Outbound,SDR Outbound,Outbound,2025-10-04,MQL,1-99,SMB
LEAD_000207,ACC_00821,Organic,SEO,Organic,2025-11-08,Lead,1-99,SMB
LEAD_000208,ACC_00297,Partner,Cloud Partner,Partner,2024-12-14,Lead,1000+,Enterprise
LEAD_000209,ACC_00285,Outbound,SDR Outbound,Outbound,2024-09-06,Lead,100-999,Mid-Market
LEAD_000210,ACC_00267,Organic,Content Hub,Organic,2025-01-23,Lead,1-99,SMB
LEAD_000211,ACC_00759,Paid Social,LinkedIn ABM,Paid Social,2025-08-08,SQL,1-99,SMB
LEAD_000212,ACC_00807,Outbound,SDR Outbound,Outbound,2024-11-26,Lead,100-999,Mid-Market
LEAD_000213,ACC_00626,Referral,Customer Referral,Referral,2024-01-23,MQL,1-99,SMB
LEAD_000214,ACC_00479,Paid Search,Search - Brand,Paid Search,2024-02-23,SQL,100-999,Mid-Market
LEAD_000215,ACC_00075,Referral,Customer Referral,Referral,2025-08-16,MQL,1-99,SMB
LEAD_000216,ACC_01003,Events,Executive Roundtable,Events,2025-07-29,Lead,1-99,SMB
LEAD_000217,ACC_00793,Partner,Technology Partner,Partner,2025-07-18,Lead,1-99,SMB
LEAD_000218,ACC_00766,Paid Search,Search - Brand,Paid Search,2024-04-02,Lead,1-99,SMB
LEAD_000219,ACC_00125,Outbound,SDR Outbound,Outbound,2024-05-04,Converted,1-99,SMB
LEAD_000220,ACC_00346,Events,Industry Conference,Events,2024-10-15,MQL,100-999,Mid-Market
LEAD_000221,ACC_00365,Paid Search,Search - Brand,Paid Search,2024-06-17,SQL,100-999,Mid-Market
LEAD_000222,ACC_00718,Referral,Employee Referral,Referral,2024-10-09,MQL,1-99,SMB
LEAD_000223,ACC_00945,Referral,Customer Referral,Referral,2025-02-12,MQL,1-99,SMB
LEAD_000224,ACC_01040,Paid Social,Paid Social Retargeting,Paid Social,2024-07-23,SQL,1-99,SMB
LEAD_000225,ACC_00627,Outbound,SDR Outbound,Outbound,2024-03-31,Lead,100-999,Mid-Market
LEAD_000226,ACC_00438,Paid Social,LinkedIn Demand Gen,Paid Social,2024-10-21,Lead,100-999,Mid-Market
LEAD_000227,ACC_00490,Outbound,Named Account Outreach,Outbound,2025-06-12,Lead,100-999,Mid-Market
LEAD_000228,ACC_00884,Events,Industry Conference,Events,2025-03-27,MQL,1-99,SMB
LEAD_000229,ACC_00382,Organic,Product Blog,Organic,2024-08-22,Converted,1000+,Enterprise
LEAD_000230,ACC_00499,Organic,SEO,Organic,2024-08-15,MQL,1-99,SMB
LEAD_000231,ACC_00944,Paid Search,Search - Competitor,Paid Search,2025-03-02,MQL,1-99,SMB
LEAD_000232,ACC_00652,Referral,Employee Referral,Referral,2024-05-06,Converted,1000+,Enterprise
LEAD_000233,ACC_00562,Paid Search,Search - Brand,Paid Search,2025-09-01,Lead,1-99,SMB
LEAD_000234,ACC_00881,Referral,Employee Referral,Referral,2025-09-27,Lead,1-99,SMB
LEAD_000235,ACC_00347,Paid Social,LinkedIn Demand Gen,Paid Social,2024-01-19,Converted,1000+,Enterprise
LEAD_000236,ACC_00073,Paid Search,Search - Brand,Paid Search,2025-12-10,Converted,1000+,Enterprise
LEAD_000237,ACC_00947,Referral,Customer Referral,Referral,2024-01-18,MQL,100-999,Mid-Market
LEAD_000238,ACC_00546,Partner,Cloud Partner,Partner,2024-12-01,Lead,1-99,SMB
LEAD_000239,ACC_00391,Paid Search,Search - Competitor,Paid Search,2025-05-02,Converted,100-999,Mid-Market
LEAD_000240,ACC_00115,Organic,Content Hub,Organic,2024-08-27,SQL,1-99,SMB
LEAD_000241,ACC_01112,Organic,Content Hub,Organic,2024-05-28,MQL,1-99,SMB
LEAD_000242,ACC_00871,Organic,Content Hub,Organic,2024-02-04,Lead,100-999,Mid-Market
LEAD_000243,ACC_00329,Paid Search,Search - Nonbrand,Paid Search,2025-06-15,MQL,100-999,Mid-Market
LEAD_000244,ACC_00730,Partner,Reseller,Partner,2024-01-27,SQL,100-999,Mid-Market
LEAD_000245,ACC_00558,Paid Search,Search - Competitor,Paid Search,2024-12-19,SQL,100-999,Mid-Market
LEAD_000246,ACC_00393,Organic,SEO,Organic,2024-10-14,MQL,100-999,Mid-Market
LEAD_000247,ACC_00374,Paid Search,Search - Competitor,Paid Search,2025-12-08,MQL,1-99,SMB
LEAD_000248,ACC_00092,Paid Social,Paid Social Retargeting,Paid Social,2025-11-11,MQL,100-999,Mid-Market
LEAD_000249,ACC_01170,Referral,Customer Referral,Referral,2025-08-20,MQL,1-99,SMB
LEAD_000250,ACC_01111,Paid Search,Search - Brand,Paid Search,2025-06-18,Lead,1-99,SMB
LEAD_000251,ACC_01045,Organic,Content Hub,Organic,2025-01-31,Lead,1-99,SMB
LEAD_000252,ACC_00379,Partner,Technology Partner,Partner,2024-09-12,Lead,1-99,SMB
LEAD_000253,ACC_01197,Referral,Employee Referral,Referral,2024-05-01,SQL,1-99,SMB
LEAD_000254,ACC_00331,Outbound,SDR Outbound,Outbound,2025-12-08,Lead,100-999,Mid-Market
LEAD_000255,ACC_00990,Events,Industry Conference,Events,2024-10-08,Lead,100-999,Mid-Market
LEAD_000256,ACC_00122,Referral,Customer Referral,Referral,2024-11-09,Converted,100-999,Mid-Market
LEAD_000257,ACC_00373,Partner,Cloud Partner,Partner,2024-04-13,MQL,1-99,SMB
LEAD_000258,ACC_00693,Referral,Employee Referral,Referral,2024-07-21,Lead,1-99,SMB
LEAD_000259,ACC_01162,Organic,SEO,Organic,2025-04-08,Lead,100-999,Mid-Market
LEAD_000260,ACC_00319,Events,Webinar,Events,2024-11-07,SQL,1-99,SMB
LEAD_000261,ACC_00519,Events,Industry Conference,Events,2025-03-04,Lead,1-99,SMB
LEAD_000262,ACC_01012,Referral,Employee Referral,Referral,2024-06-03,MQL,100-999,Mid-Market
LEAD_000263,ACC_00567,Paid Social,LinkedIn Demand Gen,Paid Social,2024-02-29,MQL,100-999,Mid-Market
LEAD_000264,ACC_00820,Outbound,SDR Outbound,Outbound,2025-10-09,Lead,1-99,SMB
LEAD_000265,ACC_00502,Organic,SEO,Organic,2024-11-11,SQL,1000+,Enterprise
LEAD_000266,ACC_00005,Partner,Reseller,Partner,2024-09-21,Lead,1-99,SMB
LEAD_000267,ACC_00340,Paid Search,Search - Competitor,Paid Search,2024-07-28,MQL,1000+,Enterprise
