account_id,account_name,company_size,segment,industry,sales_region,revenue_model,account_created_at,account_status
ACC_00061,Summit Networks 0061,100-999,Mid-Market,Media,North America,Advertising,2024-09-05,Customer
ACC_00062,Apex Technologies 0062,1-99,SMB,Professional Services,APAC,Subscription,2024-06-06,Churned
ACC_00063,Vertex Labs 0063,100-999,Mid-Market,Media,North America,Subscription,2024-12-12,Churned
ACC_00064,Vertex Solutions 0064,100-999,Mid-Market,Software,APAC,Subscription,2025-03-04,Customer
ACC_00065,Pioneer Group 0065,100-999,Mid-Market,Retail,EMEA,Subscription,2024-12-05,Customer
ACC_00066,Northstar Technologies 0066,100-999,Mid-Market,Media,North America,Usage-Based,2024-05-22,Customer
ACC_00067,Harbor Group 0067,100-999,Mid-Market,Retail,North America,Advertising,2024-08-08,Churned
ACC_00068,Cobalt Labs 0068,1-99,SMB,Media,North America,Subscription,2025-05-11,Prospect
ACC_00069,Vertex Partners 0069,1-99,SMB,Media,North America,Subscription,2024-01-20,Customer
ACC_00070,Northstar Technologies 0070,1-99,SMB,Software,EMEA,Subscription,2024-06-05,Customer
ACC_00071,Pioneer Systems 0071,1-99,SMB,Healthcare,North America,Usage-Based,2025-10-14,Prospect
ACC_00072,BluePeak Solutions 0072,1-99,SMB,Financial Services,North America,Subscription,2024-03-13,Customer
ACC_00073,Northstar Partners 0073,1000+,Enterprise,Retail,EMEA,Subscription,2024-10-30,Churned
ACC_00074,BluePeak Partners 0074,1-99,SMB,Retail,EMEA,Subscription,2024-05-31,Churned
ACC_00075,Northstar Solutions 0075,1-99,SMB,Media,North America,Usage-Based,2024-03-17,Customer
ACC_00076,Northstar Solutions 0076,1-99,SMB,Professional Services,EMEA,Advertising,2024-11-05,Customer
ACC_00077,Cobalt Group 0077,1-99,SMB,Retail,North America,Advertising,2025-01-16,Prospect
ACC_00078,Northstar Networks 0078,100-999,Mid-Market,Healthcare,EMEA,Subscription,2024-05-08,Prospect
ACC_00079,Northstar Networks 0079,100-999,Mid-Market,Healthcare,North America,Subscription,2024-02-26,Customer
ACC_00080,Nova Labs 0080,100-999,Mid-Market,Healthcare,North America,Usage-Based,2024-04-08,Customer
ACC_00081,Summit Labs 0081,100-999,Mid-Market,Healthcare,North America,Subscription,2025-04-21,Customer
ACC_00082,Summit Systems 0082,1-99,SMB,Media,EMEA,Subscription,2025-09-20,Customer
ACC_00083,Summit Networks 0083,100-999,Mid-Market,Professional Services,EMEA,Advertising,2024-05-11,Prospect
ACC_00084,Pioneer Partners 0084,1-99,SMB,Media,North America,Subscription,2024-08-22,Customer
ACC_00085,Apex Partners 0085,1-99,SMB,Software,APAC,Subscription,2024-09-08,Prospect
ACC_00086,BluePeak Group 0086,1-99,SMB,Retail,APAC,Usage-Based,2024-09-20,Prospect
ACC_00087,Harbor Labs 0087,100-999,Mid-Market,Retail,North America,Advertising,2024-06-27,Prospect
ACC_00088,Atlas Technologies 0088,1-99,SMB,Healthcare,EMEA,Subscription,2024-02-10,Prospect
ACC_00089,Nova Technologies 0089,1-99,SMB,Healthcare,North America,Subscription,2025-01-18,Customer
ACC_00090,Nova Solutions 0090,100-999,Mid-Market,Media,LATAM,Transactional,2024-09-18,Customer
ACC_00091,Pioneer Solutions 0091,1-99,SMB,Retail,North America,Subscription,2024-09-07,Prospect
ACC_00092,Vertex Solutions 0092,100-999,Mid-Market,Financial Services,North America,Subscription,2024-07-12,Customer
ACC_00093,Vertex Partners 0093,1-99,SMB,Retail,North America,Advertising,2025-11-10,Customer
ACC_00094,Pioneer Solutions 0094,1-99,SMB,Professional Services,North America,Advertising,2025-03-22,Prospect
ACC_00095,Vertex Technologies 0095,1-99,SMB,Financial Services,EMEA,Enterprise Services,2024-11-02,Prospect
ACC_00096,Harbor Systems 0096,100-999,Mid-Market,Software,North America,Subscription,2024-05-30,Prospect
ACC_00097,Summit Systems 0097,1-99,SMB,Professional Services,North America,Subscription,2025-08-08,Customer
ACC_00098,Pioneer Group 0098,1-99,SMB,Financial Services,North America,Advertising,2025-10-11,Prospect
ACC_00099,Cobalt Labs 0099,1-99,SMB,Healthcare,APAC,Advertising,2024-01-24,Prospect
ACC_00100,Vertex Labs 0100,1000+,Enterprise,Media,APAC,Subscription,2025-11-10,Prospect
ACC_00101,Harbor Solutions 0101,1000+,Enterprise,Financial Services,North America,Advertising,2025-05-26,Customer
ACC_00102,Summit Labs 0102,100-999,Mid-Market,Retail,North America,Subscription,2024-03-13,Prospect
ACC_00103,Northstar Solutions 0103,1-99,SMB,Financial Services,North America,Usage-Based,2025-07-04,Customer
ACC_00104,Nova Partners 0104,1000+,Enterprise,Software,APAC,Usage-Based,2024-03-19,Prospect
ACC_00105,Summit Networks 0105,100-999,Mid-Market,Software,EMEA,Subscription,2024-02-07,Customer
ACC_00106,Northstar Networks 0106,100-999,Mid-Market,Financial Services,EMEA,Enterprise Services,2024-03-25,Customer
ACC_00107,BluePeak Group 0107,1-99,SMB,Retail,APAC,Enterprise Services,2024-12-02,Customer
ACC_00108,Nova Networks 0108,1-99,SMB,Healthcare,North America,Subscription,2025-03-28,Prospect
ACC_00109,Atlas Labs 0109,1-99,SMB,Software,EMEA,Subscription,2024-10-24,Customer
ACC_00110,Northstar Solutions 0110,1000+,Enterprise,Professional Services,North America,Advertising,2024-03-30,Customer
ACC_00111,Summit Group 0111,1-99,SMB,Media,North America,Subscription,2024-05-25,Prospect
ACC_00112,Cobalt Labs 0112,1-99,SMB,Software,North America,Subscription,2025-09-15,Prospect
ACC_00113,Pioneer Networks 0113,1-99,SMB,Professional Services,North America,Subscription,2025-12-04,Customer
ACC_00114,BluePeak Networks 0114,100-999,Mid-Market,Software,LATAM,Enterprise Services,2025-07-05,Customer
ACC_00115,Northstar Technologies 0115,1-99,SMB,Healthcare,North America,Subscription,2024-03-16,Prospect
ACC_00116,Atlas Networks 0116,1000+,Enterprise,Retail,APAC,Transactional,2025-08-22,Prospect
ACC_00117,Vertex Labs 0117,100-999,Mid-Market,Healthcare,EMEA,Subscription,2025-05-20,Customer
ACC_00118,Nova Networks 0118,100-999,Mid-Market,Professional Services,EMEA,Subscription,2025-01-19,Customer
ACC_00119,Apex Labs 0119,1-99,SMB,Professional Services,LATAM,Usage-Based,2024-04-14,Customer
ACC_00120,Harbor Labs 0120,100-999,Mid-Market,Financial Services,North America,Subscription,2025-12-29,Churned
ACC_00121,Cobalt Labs 0121,100-999,Mid-Market,Healthcare,North America,Subscription,2024-11-19,Customer
ACC_00122,Harbor Group 0122,100-999,Mid-Market,Professional Services,North America,Subscription,2024-02-02,Prospect
ACC_00123,Apex Group 0123,1-99,SMB,Media,North America,Transactional,2024-06-02,Customer
ACC_00124,Nova Technologies 0124,1-99,SMB,Professional Services,APAC,Subscription,2024-10-20,Prospect
ACC_00125,Northstar Labs 0125,1-99,SMB,Retail,North America,Subscription,2024-02-15,Prospect
ACC_00126,Cobalt Labs 0126,100-999,Mid-Market,Financial Services,North America,Subscription,2024-08-24,Prospect
ACC_00127,Summit Technologies 0127,1-99,SMB,Healthcare,North America,Subscription,2024-12-08,Prospect
ACC_00128,Summit Systems 0128,1-99,SMB,Media,North America,Subscription,2025-11-24,Customer
ACC_00129,Cobalt Networks 0129,1-99,SMB,Professional Services,EMEA,Advertising,2024-03-04,Prospect
ACC_00130,Nova Solutions 0130,100-999,Mid-Market,Media,North America,Subscription,2025-02-25,Customer
ACC_00131,Vertex Group 0131,1-99,SMB,Media,APAC,Subscription,2025-10-31,Customer
ACC_00132,Summit Solutions 0132,1000+,Enterprise,Healthcare,EMEA,Transactional,2025-08-12,Customer
ACC_00133,BluePeak Systems 0133,100-999,Mid-Market,Financial Services,APAC,Transactional,2025-11-07,Customer
ACC_00134,Cobalt Systems 0134,1-99,SMB,Retail,North America,Subscription,2024-05-04,Customer
ACC_00135,Summit Partners 0135,100-999,Mid-Market,Retail,EMEA,Subscription,2025-08-08,Customer
ACC_00136,BluePeak Partners 0136,1-99,SMB,Media,North America,Subscription,2025-12-16,Prospect
ACC_00137,BluePeak Partners 0137,1000+,Enterprise,Healthcare,North America,Enterprise Services,2024-08-26,Customer
ACC_00138,BluePeak Systems 0138,100-999,Mid-Market,Media,EMEA,Subscription,2024-12-30,Customer
ACC_00139,Northstar Partners 0139,100-999,Mid-Market,Software,EMEA,Subscription,2025-01-23,Prospect
ACC_00140,Northstar Group 0140,1-99,SMB,Media,North America,Subscription,2024-12-26,Prospect
ACC_00141,Northstar Group 0141,100-999,Mid-Market,Healthcare,APAC,Subscription,2024-07-30,Prospect
ACC_00142,BluePeak Labs 0142,100-999,Mid-Market,Professional Services,North America,Subscription,2025-12-10,Customer
ACC_00143,Atlas Solutions 0143,1000+,Enterprise,Retail,EMEA,Subscription,2025-11-30,Prospect
ACC_00144,Northstar Systems 0144,100-999,Mid-Market,Retail,LATAM,Transactional,2024-10-05,Prospect
ACC_00145,Summit Partners 0145,1-99,SMB,Software,North America,Advertising,2025-08-11,Customer
ACC_00146,Atlas Networks 0146,1-99,SMB,Media,APAC,Transactional,2024-10-17,Churned
ACC_00147,Northstar Partners 0147,1-99,SMB,Media,EMEA,Transactional,2025-08-04,Prospect
ACC_00148,Northstar Networks 0148,100-999,Mid-Market,Professional Services,APAC,Subscription,2025-03-03,Churned
ACC_00149,Vertex Solutions 0149,1-99,SMB,Software,EMEA,Usage-Based,2024-12-09,Prospect
ACC_00150,Summit Labs 0150,1-99,SMB,Financial Services,EMEA,Transactional,2024-04-03,Churned
ACC_00151,Pioneer Systems 0151,1000+,Enterprise,Professional Services,North America,Usage-Based,2025-04-23,Churned
ACC_00152,Vertex Networks 0152,1000+,Enterprise,Software,EMEA,Transactional,2024-08-22,Prospect
ACC_00153,Pioneer Group 0153,1-99,SMB,Healthcare,North America,Subscription,2024-06-07,Customer
ACC_00154,Apex Systems 0154,100-999,Mid-Market,Retail,LATAM,Subscription,2024-05-21,Churned
ACC_00155,Pioneer Labs 0155,1-99,SMB,Professional Services,North America,Subscription,2025-12-18,Customer
ACC_00156,Atlas Group 0156,100-999,Mid-Market,Professional Services,North America,Subscription,2024-03-16,Churned
ACC_00157,Northstar Systems 0157,1-99,SMB,Professional Services,APAC,Subscription,2025-08-06,Customer
ACC_00158,Apex Systems 0158,100-999,Mid-Market,Financial Services,North America,Subscription,2025-09-25,Prospect
ACC_00159,Nova Solutions 0159,100-999,Mid-Market,Healthcare,North America,Subscription,2024-01-23,Customer
ACC_00160,Atlas Group 0160,100-999,Mid-Market,Media,EMEA,Enterprise Services,2025-03-06,Customer
ACC_00161,Nova Solutions 0161,1-99,SMB,Professional Services,North America,Transactional,2025-02-26,Customer
ACC_00162,Vertex Solutions 0162,1000+,Enterprise,Software,North America,Advertising,2024-09-19,Prospect
ACC_00163,Harbor Systems 0163,1-99,SMB,Professional Services,North America,Subscription,2025-05-02,Customer
ACC_00164,Northstar Partners 0164,1-99,SMB,Retail,North America,Advertising,2024-10-25,Prospect
ACC_00165,Northstar Networks 0165,100-999,Mid-Market,Software,North America,Usage-Based,2024-11-17,Customer
ACC_00166,Northstar Networks 0166,1-99,SMB,Healthcare,North America,Transactional,2024-11-11,Prospect
ACC_00167,Summit Systems 0167,1000+,Enterprise,Media,North America,Advertising,2025-08-08,Customer
ACC_00168,Northstar Labs 0168,100-999,Mid-Market,Software,North America,Subscription,2025-04-07,Customer
ACC_00169,BluePeak Systems 0169,1-99,SMB,Software,North America,Subscription,2024-10-04,Customer
ACC_00170,Apex Networks 0170,1000+,Enterprise,Professional Services,EMEA,Transactional,2025-11-08,Customer
ACC_00171,Summit Solutions 0171,1-99,SMB,Professional Services,EMEA,Enterprise Services,2025-08-09,Prospect
ACC_00172,Cobalt Networks 0172,100-999,Mid-Market,Software,North America,Subscription,2025-11-12,Churned
ACC_00173,Vertex Networks 0173,1-99,SMB,Professional Services,North America,Subscription,2025-06-17,Customer
ACC_00174,BluePeak Solutions 0174,1000+,Enterprise,Professional Services,APAC,Subscription,2024-10-13,Prospect
ACC_00175,Atlas Networks 0175,1-99,SMB,Professional Services,EMEA,Subscription,2025-07-19,Prospect
ACC_00176,Pioneer Systems 0176,1-99,SMB,Financial Services,North America,Enterprise Services,2024-08-28,Prospect
ACC_00177,Vertex Solutions 0177,1-99,SMB,Healthcare,North America,Transactional,2024-07-17,Customer
ACC_00178,Nova Group 0178,1000+,Enterprise,Professional Services,North America,Subscription,2024-11-25,Churned
ACC_00179,Cobalt Systems 0179,1000+,Enterprise,Professional Services,APAC,Subscription,2025-12-09,Customer
ACC_00180,Northstar Technologies 0180,100-999,Mid-Market,Healthcare,LATAM,Subscription,2025-02-19,Prospect
ACC_00181,Cobalt Solutions 0181,1000+,Enterprise,Financial Services,LATAM,Subscription,2024-10-07,Customer
ACC_00182,Nova Labs 0182,1000+,Enterprise,Software,North America,Advertising,2024-12-03,Prospect
ACC_00183,Apex Technologies 0183,100-999,Mid-Market,Financial Services,North America,Usage-Based,2024-07-31,Customer
ACC_00184,Apex Labs 0184,1-99,SMB,Software,North America,Transactional,2025-04-26,Prospect
ACC_00185,Northstar Systems 0185,100-999,Mid-Market,Financial Services,North America,Subscription,2024-09-13,Customer
ACC_00186,Harbor Systems 0186,100-999,Mid-Market,Software,North America,Transactional,2025-02-09,Churned
ACC_00187,Harbor Partners 0187,1-99,SMB,Media,EMEA,Transactional,2024-09-27,Prospect
ACC_00188,Vertex Solutions 0188,1-99,SMB,Healthcare,North America,Subscription,2024-08-22,Customer
ACC_00189,Vertex Labs 0189,100-999,Mid-Market,Healthcare,LATAM,Advertising,2025-12-10,Churned
ACC_00190,BluePeak Group 0190,1-99,SMB,Media,North America,Advertising,2024-09-09,Prospect
ACC_00191,Summit Labs 0191,1000+,Enterprise,Retail,North America,Usage-Based,2024-02-21,Prospect
ACC_00192,Cobalt Systems 0192,1-99,SMB,Retail,APAC,Subscription,2024-10-03,Customer
ACC_00193,Summit Technologies 0193,1-99,SMB,Financial Services,EMEA,Subscription,2025-01-23,Prospect
ACC_00194,Atlas Networks 0194,1000+,Enterprise,Retail,North America,Advertising,2024-03-10,Prospect
ACC_00195,Summit Networks 0195,1-99,SMB,Financial Services,EMEA,Subscription,2024-08-11,Customer
ACC_00196,Nova Group 0196,1-99,SMB,Healthcare,North America,Subscription,2024-05-01,Customer
ACC_00197,Summit Technologies 0197,100-999,Mid-Market,Professional Services,North America,Transactional,2024-12-31,Prospect
ACC_00198,BluePeak Systems 0198,1000+,Enterprise,Healthcare,North America,Subscription,2025-06-12,Prospect
ACC_00199,BluePeak Labs 0199,1-99,SMB,Financial Services,North America,Subscription,2025-12-08,Customer
ACC_00200,BluePeak Solutions 0200,1-99,SMB,Media,EMEA,Enterprise Services,2024-10-11,Customer
ACC_00201,BluePeak Partners 0201,100-999,Mid-Market,Media,North America,Advertising,2025-09-23,Customer
ACC_00202,Pioneer Solutions 0202,1000+,Enterprise,Retail,EMEA,Advertising,2024-06-05,Customer
ACC_00203,Apex Solutions 0203,100-999,Mid-Market,Financial Services,APAC,Advertising,2025-07-24,Churned
ACC_00204,Nova Networks 0204,1-99,SMB,Media,North America,Subscription,2025-02-15,Customer
ACC_00205,BluePeak Solutions 0205,1-99,SMB,Financial Services,North America,Subscription,2025-07-08,Prospect
ACC_00206,Apex Group 0206,1-99,SMB,Professional Services,North America,Transactional,2025-07-06,Customer
ACC_00207,Northstar Systems 0207,1-99,SMB,Financial Services,APAC,Subscription,2025-01-24,Customer
ACC_00208,Summit Systems 0208,100-999,Mid-Market,Retail,EMEA,Subscription,2024-07-07,Prospect
ACC_00209,Summit Systems 0209,1-99,SMB,Media,EMEA,Subscription,2025-01-19,Prospect
ACC_00210,Harbor Systems 0210,100-999,Mid-Market,Software,North America,Usage-Based,2025-08-27,Customer
ACC_00211,Cobalt Group 0211,100-999,Mid-Market,Financial Services,North America,Subscription,2025-12-10,Prospect
ACC_00212,Vertex Networks 0212,100-999,Mid-Market,Software,North America,Transactional,2025-11-09,Prospect
ACC_00213,Harbor Partners 0213,1-99,SMB,Retail,North America,Subscription,2024-05-12,Prospect
ACC_00214,Harbor Networks 0214,100-999,Mid-Market,Healthcare,EMEA,Advertising,2025-03-12,Customer
ACC_00215,Cobalt Labs 0215,100-999,Mid-Market,Financial Services,North America,Subscription,2024-03-17,Prospect
ACC_00216,Apex Partners 0216,100-999,Mid-Market,Retail,North America,Subscription,2025-05-04,Customer
ACC_00217,Summit Group 0217,1-99,SMB,Media,North America,Advertising,2025-12-26,Prospect
ACC_00218,Cobalt Systems 0218,1-99,SMB,Professional Services,North America,Transactional,2024-02-08,Prospect
ACC_00219,Apex Labs 0219,1000+,Enterprise,Software,EMEA,Subscription,2025-04-24,Customer
ACC_00220,Northstar Group 0220,1-99,SMB,Healthcare,North America,Subscription,2025-11-22,Prospect
ACC_00221,Apex Labs 0221,1-99,SMB,Software,LATAM,Subscription,2025-09-11,Customer
ACC_00222,BluePeak Partners 0222,100-999,Mid-Market,Healthcare,APAC,Subscription,2024-10-13,Prospect
ACC_00223,Northstar Partners 0223,100-999,Mid-Market,Professional Services,APAC,Advertising,2024-03-16,Prospect
ACC_00224,Summit Networks 0224,1000+,Enterprise,Media,EMEA,Subscription,2025-11-06,Prospect
ACC_00225,Vertex Systems 0225,1-99,SMB,Financial Services,EMEA,Advertising,2025-11-04,Customer
ACC_00226,Nova Partners 0226,1000+,Enterprise,Financial Services,EMEA,Subscription,2025-02-27,Prospect
ACC_00227,Harbor Networks 0227,1-99,SMB,Media,North America,Advertising,2025-12-16,Customer
ACC_00228,Atlas Labs 0228,100-999,Mid-Market,Media,North America,Subscription,2024-01-04,Prospect
ACC_00229,Summit Networks 0229,100-999,Mid-Market,Financial Services,EMEA,Subscription,2025-03-26,Customer
ACC_00230,Pioneer Technologies 0230,1-99,SMB,Software,North America,Subscription,2024-01-29,Customer
ACC_00231,Vertex Technologies 0231,1-99,SMB,Retail,North America,Usage-Based,2025-11-14,Prospect
ACC_00232,Summit Systems 0232,1-99,SMB,Healthcare,APAC,Advertising,2025-05-12,Customer
ACC_00233,Vertex Technologies 0233,1000+,Enterprise,Retail,North America,Usage-Based,2025-10-29,Prospect
ACC_00234,Pioneer Systems 0234,100-999,Mid-Market,Professional Services,North America,Subscription,2025-02-15,Customer
ACC_00235,BluePeak Labs 0235,1000+,Enterprise,Media,EMEA,Subscription,2024-03-01,Prospect
ACC_00236,Northstar Systems 0236,100-999,Mid-Market,Media,North America,Subscription,2024-01-20,Customer
ACC_00237,Atlas Solutions 0237,1-99,SMB,Software,APAC,Subscription,2024-09-02,Churned
ACC_00238,Summit Labs 0238,100-999,Mid-Market,Professional Services,North America,Transactional,2025-06-27,Prospect
ACC_00239,Summit Group 0239,1-99,SMB,Media,APAC,Usage-Based,2024-04-20,Customer
ACC_00240,Nova Group 0240,1-99,SMB,Retail,APAC,Advertising,2025-09-14,Customer
ACC_00241,Cobalt Solutions 0241,1000+,Enterprise,Healthcare,North America,Transactional,2024-06-24,Prospect
ACC_00242,Harbor Technologies 0242,100-999,Mid-Market,Media,North America,Subscription,2024-12-28,Customer
ACC_00243,Nova Solutions 0243,1-99,SMB,Professional Services,North America,Subscription,2024-05-28,Customer
ACC_00244,Nova Group 0244,100-999,Mid-Market,Healthcare,North America,Transactional,2024-12-06,Churned
ACC_00245,Vertex Systems 0245,100-999,Mid-Market,Software,North America,Subscription,2024-11-26,Churned
ACC_00246,Apex Technologies 0246,1000+,Enterprise,Healthcare,LATAM,Subscription,2024-01-05,Prospect
ACC_00247,Summit Group 0247,100-999,Mid-Market,Media,North America,Enterprise Services,2025-02-19,Customer
ACC_00248,Summit Partners 0248,1-99,SMB,Software,APAC,Enterprise Services,2025-07-29,Customer
ACC_00249,Cobalt Solutions 0249,1-99,SMB,Media,North America,Advertising,2025-11-15,Prospect
ACC_00250,Pioneer Technologies 0250,1-99,SMB,Financial Services,LATAM,Subscription,2024-08-29,Prospect
ACC_00251,Vertex Solutions 0251,100-999,Mid-Market,Professional Services,North America,Usage-Based,2025-10-05,Churned
ACC_00252,BluePeak Technologies 0252,1000+,Enterprise,Healthcare,North America,Subscription,2025-10-04,Prospect
ACC_00253,Atlas Labs 0253,1-99,SMB,Financial Services,EMEA,Subscription,2025-12-23,Customer
ACC_00254,Harbor Technologies 0254,1-99,SMB,Software,North America,Subscription,2024-09-29,Customer
ACC_00255,Cobalt Systems 0255,1-99,SMB,Software,APAC,Usage-Based,2025-09-14,Prospect
ACC_00256,Summit Partners 0256,100-999,Mid-Market,Media,North America,Usage-Based,2025-02-17,Customer
ACC_00257,Northstar Systems 0257,100-999,Mid-Market,Retail,North America,Transactional,2024-02-12,Churned
ACC_00258,Apex Group 0258,1-99,SMB,Professional Services,North America,Subscription,2024-07-16,Customer
ACC_00259,Summit Technologies 0259,1-99,SMB,Financial Services,EMEA,Advertising,2025-05-06,Prospect
ACC_00260,Vertex Systems 0260,100-999,Mid-Market,Professional Services,North America,Subscription,2024-04-27,Prospect
ACC_00261,Northstar Systems 0261,1-99,SMB,Professional Services,North America,Usage-Based,2024-11-13,Churned
ACC_00262,Vertex Networks 0262,1000+,Enterprise,Software,North America,Subscription,2025-07-20,Prospect
ACC_00263,Summit Systems 0263,1-99,SMB,Healthcare,North America,Subscription,2024-04-19,Customer
ACC_00264,Northstar Technologies 0264,1-99,SMB,Professional Services,North America,Transactional,2024-12-29,Prospect
